epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,5422.33,0.71707,0.49197,0.91301,0.7709,0.55918,0.64028,0.38101,1.60504,1.22756,1.36049,0.002674,0.002674,0.002674
76,5492.69,0.71305,0.49051,0.9141,0.7715,0.559,0.64041,0.38133,1.60417,1.22651,1.35962,0.002575,0.002575,0.002575
77,5563.56,0.71426,0.48889,0.91554,0.77172,0.55886,0.64056,0.38158,1.60318,1.22555,1.3588,0.002476,0.002476,0.002476
78,5634.77,0.7115,0.4903,0.91607,0.77257,0.55824,0.64062,0.38169,1.60268,1.22462,1.35811,0.002377,0.002377,0.002377
79,5705.71,0.71114,0.48734,0.91607,0.77238,0.55906,0.6412,0.38214,1.602,1.22366,1.35741,0.002278,0.002278,0.002278
80,5777.65,0.70724,0.48452,0.91437,0.77063,0.5597,0.64134,0.38226,1.60126,1.22263,1.35659,0.002179,0.002179,0.002179
81,5849.94,0.69756,0.48221,0.91313,0.77152,0.55967,0.64155,0.38249,1.60068,1.22164,1.35569,0.00208,0.00208,0.00208
82,5920.84,0.68954,0.47689,0.91086,0.771,0.55972,0.64196,0.38282,1.59994,1.22046,1.35493,0.001981,0.001981,0.001981
83,5991.95,0.69165,0.47642,0.90988,0.77123,0.56013,0.64218,0.38288,1.59944,1.21971,1.35427,0.001882,0.001882,0.001882
84,6062.93,0.6866,0.47509,0.91024,0.77075,0.56062,0.64235,0.38302,1.59877,1.21892,1.35343,0.001783,0.001783,0.001783
85,6133.57,0.68501,0.47333,0.91014,0.77311,0.55955,0.64259,0.38325,1.59783,1.21816,1.35267,0.001684,0.001684,0.001684
86,6205.04,0.67859,0.46642,0.90752,0.77174,0.55997,0.64278,0.38344,1.59747,1.21748,1.35198,0.001585,0.001585,0.001585
87,6276.41,0.6776,0.4661,0.90697,0.77241,0.56015,0.64306,0.38374,1.59691,1.21676,1.35116,0.001486,0.001486,0.001486
88,6347.84,0.67234,0.4639,0.90657,0.77238,0.56025,0.64338,0.38402,1.59654,1.21588,1.3505,0.001387,0.001387,0.001387
89,6418.8,0.66316,0.45948,0.90363,0.77188,0.56084,0.64353,0.38428,1.59585,1.21507,1.34986,0.001288,0.001288,0.001288
90,6488.91,0.66802,0.46101,0.90801,0.77198,0.56105,0.64368,0.38451,1.59509,1.21439,1.34901,0.001189,0.001189,0.001189
91,6566.27,1.16141,0.77412,1.14431,0.77253,0.56109,0.64405,0.38483,1.59401,1.21279,1.34782,0.00109,0.00109,0.00109
92,6636.79,1.12383,0.74923,1.12583,0.77229,0.562,0.64464,0.38538,1.59258,1.21048,1.34659,0.000991,0.000991,0.000991
93,6706.72,1.11017,0.74051,1.11881,0.77436,0.56177,0.64525,0.38611,1.59097,1.20815,1.3451,0.000892,0.000892,0.000892
94,6778.28,1.07979,0.72183,1.10705,0.77541,0.5621,0.64597,0.38683,1.589,1.20551,1.3439,0.000793,0.000793,0.000793
95,6849.9,1.10193,0.73757,1.11215,0.7769,0.56215,0.64659,0.38751,1.58688,1.2031,1.34238,0.000694,0.000694,0.000694
96,6922.49,1.09751,0.73359,1.11059,0.77793,0.56215,0.64749,0.38816,1.58485,1.20078,1.34086,0.000595,0.000595,0.000595
97,6993.05,1.08053,0.72152,1.10322,0.77861,0.5616,0.64806,0.38879,1.58258,1.19791,1.33941,0.000496,0.000496,0.000496
98,7063.52,1.07071,0.71643,1.10182,0.77974,0.56173,0.64876,0.38943,1.58004,1.19537,1.33774,0.000397,0.000397,0.000397
99,7133.94,1.06217,0.70777,1.0956,0.77949,0.56268,0.64971,0.39013,1.5775,1.19273,1.33595,0.000298,0.000298,0.000298
100,7204.18,1.05805,0.70704,1.09474,0.77928,0.56351,0.6505,0.39089,1.57539,1.19049,1.33451,0.000199,0.000199,0.000199
